SERIAL	ADMCD	ADMNM	X	Y
0	1135000000	노원구	962150	1961831
1	1135056000	월계1동	960940	1958194
2	1135057000	월계2동	960468	1959581
3	1135058000	월계3동	961555	1958588
4	1135058100	월계4동	960940	1958194
5	1135059000	공릉제1동	962400	1958307
6	1135059500	공릉1동	962400	1958307
7	1135060000	공릉2동	964132	1959184
8	1135060100	서울특별시 노원구 공릉제3동	962400	1958307
9	1135060500	서울특별시 노원구 공릉1.3동	962400	1958307
10	1135061100	서울특별시 노원구 하계1동	962458	1959980
11	1135061200	서울특별시 노원구 하계2동	961579	1959589
12	1135061900	서울특별시 노원구 중계본동	963374	1961030
13	1135062100	서울특별시 노원구 중계1동	962318	1961233
14	1135062200	서울특별시 노원구 중계2동	961735	1960571
15	1135062300	서울특별시 노원구 중계3동	961735	1960571
16	1135062400	서울특별시 노원구 중계4동	963141	1962203
17	1135062500	서울특별시 노원구 중계2.3동	961735	1960571
18	1135063000	서울특별시 노원구 상계1동	961531	1964967
19	1135064000	서울특별시 노원구 상계2동	961800	1961922
20	1135065000	서울특별시 노원구 상계제3동	963248	1964100
21	1135066000	서울특별시 노원구 상계제4동	963248	1964100
22	1135066500	서울특별시 노원구 상계3.4동	963252	1964150
23	1135067000	서울특별시 노원구 상계5동	962039	1962735
24	1135068000	서울특별시 노원구 상계제6동	961152	1960892
25	1135069000	서울특별시 노원구 상계제7동	961152	1960892
26	1135069500	서울특별시 노원구 상계6.7동	961152	1960892
27	1135070000	서울특별시 노원구 상계8동	960629	1963059
28	1135071000	서울특별시 노원구 상계9동	961357	1963211
29	1135072000	서울특별시 노원구 상계10동	961064	1962347